model,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_accuracy,eval_f1,eval_precision,eval_recall,epoch
model_1,0.34514307975769043,73.7412,53.322,6.672,0.8901322482197355,0.9343863912515188,0.9073746312684365,0.963055729492799,3.0
model_2,0.3685978353023529,37.4104,105.105,13.151,0.8575788402848423,0.9167657550535078,0.8726655348047538,0.965560425798372,3.0
model_3,0.31460705399513245,37.1478,105.848,13.244,0.919379450661241,0.9504919568952054,0.9482704892489873,0.9527238572323106,3.0
model_4,0.22356021404266357,36.6565,107.266,8.948,0.9120040691759919,0.9473363774733637,0.9218009478672986,0.9743268628678773,1.9832189168573608
model_5,0.24217605590820312,36.0063,109.203,6.832,0.9069175991861648,0.9428303655107779,0.9407730673316709,0.9448966812773951,2.8484231943031535
model_6,0.2512129843235016,35.7177,110.086,6.887,0.9059003051881994,0.9418604651162791,0.9454258675078865,0.9383218534752661,2.441505595116989
model_7,0.24256141483783722,35.6803,110.201,6.895,0.9041200406917599,0.9408812921436412,0.942507068803016,0.939261114589856,2.441505595116989
model_8,0.24126289784908295,35.716,110.091,6.888,0.9008138351983723,0.9383691529709229,0.9473516273133376,0.9295554164057608,1.8311291963377416
model_9,0.24217605590820312,37.3443,105.291,6.587,0.9069175991861648,0.9428303655107779,0.9407730673316709,0.9448966812773951,2.8484231943031535
model_10,0.17772696912288666,160.5622,110.225,6.895,0.9330997852864731,0.9607348942097235,0.9565475797398137,0.9649590300446339,1.4915254237288136
model_11,0.16711080074310303,489.4845,109.93,6.873,0.9388578118902042,0.9646639314329903,0.9483865517823957,0.9815098133496525,1.6353229762878168
model_12,0.3180166184902191,507.0903,106.113,6.634,0.9195673586203051,0.9518651155548635,0.969044384057971,0.9352843467237837,1.5609901137292796
model_13,0.24307294189929962,489.4477,109.938,6.873,0.9050716422903232,0.9038656980464486,0.9181738232707529,0.8899966643193359,2.229985876756114
